snr_db,policy,sinr_weak_mean,sinr_weak_std,sinr_weak_ci95,sinr_strong_mean,sinr_strong_std,sinr_strong_ci95,rate_weak_mean,rate_weak_std,rate_weak_ci95,rate_strong_mean,rate_strong_std,rate_strong_ci95,sum_rate_mean,sum_rate_std,sum_rate_ci95,outage_weak_mean,outage_weak_std,outage_weak_ci95,outage_strong_mean,outage_strong_std,outage_strong_ci95,ber_weak_mean,ber_weak_std,ber_weak_ci95,ber_strong_mean,ber_strong_std,ber_strong_ci95,cache_hit_weak_mean,cache_hit_weak_std,cache_hit_weak_ci95,cache_hit_strong_mean,cache_hit_strong_std,cache_hit_strong_ci95,transmission_needed_mean,transmission_needed_std,transmission_needed_ci95,sic_success_mean,sic_success_std,sic_success_ci95,cic_opportunity_mean,cic_opportunity_std,cic_opportunity_ci95,cic_benefit_mean,cic_benefit_std,cic_benefit_ci95,energy_mean,energy_std,energy_ci95,outage_probability,cache_hit_rate,sic_success_rate,cic_benefit_rate,fairness_mean,energy_efficiency
10,topk,inf,,,inf,,,7.261634791126745,4.206206431763284,0.26070337561114304,7.841524680382223,3.259576066497923,0.2020306177034357,11.32470046902683,8.193921056219176,0.5078644887031978,0.059,0.23574260237507894,0.014611477874797118,0.008,0.08912880535463236,0.005524260588988815,0.04177460511869231,0.09247334399710486,0.005731557241708964,0.0030621125419200376,0.029589723421598785,0.0018339900583949848,0.701,0.4580489153014215,0.02839016590159205,0.692,0.4618975528722244,0.028628706929591848,0.53,0.4993489254512813,0.030949967051039973,0.998,0.04469897088298564,0.002770470918293334,0.453,0.49803517851557333,0.030868540172356258,0.421,0.4939666011007252,0.030616367131590518,1.06,0.9986978509025626,0.061899934102079945,0.0335,0.6964999999999999,0.998,0.421,0.8279119809319343,10.68367968776116
12,topk,inf,,,inf,,,7.476344056935463,4.042408356905333,0.2505510657502661,8.251944047841262,2.925533263362016,0.1813264302630603,12.498500183345339,7.819764442547387,0.4846740215271542,0.044,0.2051977244174655,0.012718286724917678,0.007,0.08341437500789631,0.00517007652663781,0.031236441594262396,0.08068455358365262,0.005000880441837567,0.002453100654650883,0.026317592987087576,0.0016311813129004326,0.718,0.45019848809017415,0.027903591381971102,0.733,0.44261372200475996,0.027433482709520746,0.481,0.49988887654046565,0.030983433566271437,1.0,0.0,0.0,0.413,0.4926191974270528,0.03053285418667545,0.387,0.48730736549786363,0.030203623432768268,0.962,0.9997777530809313,0.061966867132542874,0.0255,0.7255,1.0,0.387,0.8556860989914119,12.992203932791412
14,topk,inf,,,inf,,,7.3000461865672674,4.084469018780192,0.2531580125820739,8.05992243992807,2.9252918705214888,0.1813114685797966,12.083699734737099,7.493065699883494,0.4644250236707441,0.027,0.16216441439877397,0.010051054536579595,0.005,0.07056897321046963,0.004373910274695983,0.029231128597053502,0.07466525773511279,0.004627800619918645,0.0019396492067989932,0.022435975442447614,0.0013905961649444737,0.694,0.461060274342278,0.02857681186865632,0.689,0.46313442270413624,0.028705368916016476,0.53,0.4993489254512813,0.030949967051039973,0.998,0.04469897088298564,0.002770470918293334,0.443,0.4969889314642711,0.030803693108280194,0.429,0.49518098126261295,0.030691635193825548,1.06,0.9986978509025626,0.061899934102079945,0.016,0.6915,0.998,0.429,0.8522766662334723,11.399716730884057
16,topk,inf,,,inf,,,7.364192387917419,4.018421717513526,0.2490643584379981,8.168554574975403,2.8604244732279787,0.17729094564163972,12.55709140765997,7.2608056679282384,0.45002939774686296,0.029,0.1678904023081343,0.010405954944083617,0.018,0.13301764429463367,0.008244519009238421,0.026455312922775035,0.07622537482050043,0.004724497678683464,0.005364960143022574,0.03821572206586576,0.0023686349934593847,0.697,0.45978516983739526,0.028497780072648977,0.697,0.45978516983739526,0.028497780072648977,0.517,0.49996095943679536,0.03098790131047322,0.999,0.03162277660168379,0.00196,0.428,0.49503642397409614,0.03068267544025736,0.418,0.4934769695938398,0.03058601945638213,1.034,0.9999219188735907,0.06197580262094644,0.0235,0.697,0.999,0.418,0.8579828482501713,12.144188982263026
18,topk,inf,,,inf,,,7.5520822079595735,3.896940616543135,0.2415348817920641,8.369310880086763,2.5847177462535593,0.1602024656616405,13.150366734412135,6.848429476957096,0.4244700566275129,0.015,0.121613279660528,0.007537669166025826,0.006,0.07726558075864033,0.004788970310686489,0.020510257539736072,0.0627382479574276,0.0038885568950960043,0.0018989325678750134,0.022582348104698717,0.001399668436542436,0.715,0.45164032036453405,0.027992957072193098,0.707,0.45536618051668964,0.02822388827694493,0.505,0.5002251745216599,0.031004277531096008,1.0,0.0,0.0,0.432,0.49560228169533455,0.030717747665179197,0.425,0.4945903553645376,0.030655027821398735,1.01,1.0004503490433199,0.062008555062192015,0.010499999999999999,0.711,1.0,0.425,0.872962930661706,13.020165083576371
20,topk,inf,,,inf,,,7.528894947085875,3.906165607042527,0.24210665262694533,8.382383912916648,2.498788543401843,0.15487651849037293,13.291087798901588,6.595020506022578,0.40876360588513216,0.016,0.12553788177183717,0.007780918525026022,0.005,0.07056897321046965,0.004373910274695984,0.020789796424952486,0.06246668813586486,0.003871725442976312,0.0014074306231343463,0.019274390370591456,0.0011946390920128036,0.712,0.45305767983918027,0.02808080592257389,0.695,0.4606378047741926,0.028550626933542076,0.515,0.5000250243988045,0.030991872097957167,1.0,0.0,0.0,0.437,0.4962633144584407,0.03075871890031163,0.426,0.4947411128749751,0.030664371868702973,1.03,1.000050048797609,0.061983744195914334,0.0105,0.7035,1.0,0.426,0.8734141137986134,12.903968736797658
22,topk,inf,,,inf,,,7.794177004897125,3.7265914829140074,0.23097653310185728,8.489747987305403,2.5175006374029714,0.15603630609233382,14.267644064714991,6.297678324221122,0.39033414652197734,0.007,0.08341437500789631,0.00517007652663781,0.014,0.11754921445002436,0.00728577579458282,0.015385573981703935,0.05196134157201301,0.0032205973170528826,0.0038464101498337728,0.031656705805469594,0.001962102953837919,0.738,0.43994266620725647,0.027267928956001577,0.718,0.45019848809017415,0.027903591381971102,0.463,0.4988786223921405,0.030920817365434356,1.0,0.0,0.0,0.382,0.486119648144685,0.030130007948538266,0.38,0.48562931937418674,0.03009961705648341,0.926,0.997757244784281,0.06184163473086871,0.0105,0.728,1.0,0.38,0.8883569603717699,15.407822964055066
24,topk,inf,,,inf,,,7.628760798736185,3.8096064159878344,0.2361218519609241,8.54719606365076,2.396143055317152,0.14851448522618188,14.331214004675138,5.986165055439044,0.37102635408795176,0.01,0.0995485304256668,0.006170081839806496,0.007,0.08341437500789631,0.00517007652663781,0.016594776581493564,0.053611497164439,0.003322875020301203,0.002020183300403619,0.022439919275481567,0.0013908406062484084,0.718,0.45019848809017415,0.027903591381971102,0.717,0.4506818324651152,0.027933549376704368,0.486,0.5000540511325291,0.030993671193552626,1.0,0.0,0.0,0.407,0.4915206939617015,0.030464768236500732,0.401,0.4903462444430869,0.030391975101176805,0.972,1.0001081022650582,0.06198734238710525,0.0085,0.7175,1.0,0.401,0.8846454528471688,14.744047329912693
26,topk,inf,,,inf,,,7.482688239967056,3.834881200322236,0.23768839932390265,8.56629798221551,2.3885720462009914,0.14804522921951976,14.423930859841096,5.734129140972983,0.3554050062671795,0.004,0.06315051850925682,0.0039141096886335025,0.007,0.08341437500789631,0.00517007652663781,0.015035610145153092,0.0488834474769248,0.0030298274646025553,0.0020877020781900416,0.02282864959732705,0.0014149343612154081,0.695,0.4606378047741926,0.028550626933542076,0.721,0.4487319471135974,0.02781269423051928,0.502,0.5002461856388775,0.031005579813633215,1.0,0.0,0.0,0.42,0.49380547166252003,0.030606380225543017,0.418,0.4934769695938398,0.03058601945638213,1.004,1.000492371277755,0.06201115962726643,0.0055,0.708,1.0,0.418,0.8806496534584706,14.36646499984173
28,topk,inf,,,inf,,,7.362642770925206,3.8994147972929,0.2416882331037032,8.508393549409371,2.4335335320616935,0.15083197098470316,14.453922828413893,5.633784654034569,0.349185590531598,0.002,0.04469897088298564,0.002770470918293334,0.011,0.1043546352103724,0.006467967300551312,0.016287975983897723,0.04891877065289761,0.0030320168177317493,0.0032572026780417073,0.02838961016448264,0.0017596062680790387,0.682,0.46593249842986173,0.02887879544625133,0.708,0.45490981847278583,0.02819560266441577,0.514,0.5000540511325291,0.030993671193552626,1.0,0.0,0.0,0.418,0.4934769695938398,0.03058601945638213,0.416,0.4931401293620173,0.03056514188251542,1.028,1.0001081022650582,0.06198734238710525,0.0065,0.6950000000000001,1.0,0.416,0.8750179673580336,14.0602362144104
30,topk,inf,,,inf,,,7.76513086856855,3.6780915430833634,0.22797047568743653,8.484574982386318,2.4550115321272785,0.152163191220636,15.085393303228022,5.316321300009609,0.3295090079934349,0.003,0.054717401199198004,0.003391419662520009,0.012,0.10893974420691409,0.006752155300435648,0.01208997562810439,0.04307502194645063,0.0026698175204054606,0.003736353267721141,0.029956251350606453,0.001856707694796868,0.726,0.4462321403968154,0.027657754604988996,0.703,0.4571651780264984,0.028335391297809882,0.491,0.50016914056064,0.031000804510210384,1.0,0.0,0.0,0.411,0.4922614359477303,0.030510679900454335,0.41,0.49207940633818653,0.030499397588366447,0.982,1.00033828112128,0.06200160902042077,0.0075,0.7144999999999999,1.0,0.41,0.8897506546519487,15.361907640761734
-10,lru,inf,,,inf,,,6.12,4.875384022758553,0.30217943240625983,5.55,4.972144630058766,0.30817671698051574,7.2603326229848975,9.538860393878716,0.5912246924897412,0.388,0.48753840227585526,0.030217943240625985,0.445,0.4972144630058765,0.030817671698051566,0.16580498412228736,0.20976062051138528,0.01300109795483373,0.15335209438866088,0.17349818887444615,0.010753529156443769,0.612,0.48753840227585526,0.030217943240625985,0.555,0.49721446300587663,0.030817671698051573,0.641,0.4799472360055314,0.029747437880605115,0.359,0.4799472360055314,0.029747437880605115,0.449,0.4976410821532389,0.030844113826754005,0.0,0.0,0.0,1.282,0.9598944720110628,0.05949487576121023,0.4165,0.5835,0.359,0.0,0.5835,5.663285977367314
-8,lru,inf,,,inf,,,6.0,4.901430813958719,0.3037938292505144,5.89,4.922614359477302,0.30510679900454335,7.163274328905474,9.465890871965545,0.5867019946649651,0.4,0.49014308139587187,0.03037938292505144,0.411,0.4922614359477303,0.030510679900454335,0.16251222321427006,0.20143048097183824,0.012484790557062631,0.12589843075173984,0.15361568102242562,0.009521198552435857,0.6,0.49014308139587187,0.03037938292505144,0.589,0.4922614359477303,0.030510679900454335,0.648,0.47783294604320065,0.02961639283107118,0.409,0.49189527438364455,0.03048798497158557,0.485,0.5000250243988045,0.030991872097957167,0.0,0.0,0.0,1.296,0.9556658920864013,0.05923278566214236,0.40549999999999997,0.5945,0.409,0.0,0.5945,5.527217846377681
-6,lru,inf,,,inf,,,5.8,4.938054716625199,0.30606380225543006,5.900251199191589,4.861356987852622,0.3013100277754799,7.006862441206584,9.35146580556958,0.5796098555729111,0.42,0.4938054716625201,0.03060638022554302,0.25,0.4332293707583636,0.026851834593208355,0.16281683204674902,0.19503311310369412,0.012088277588593732,0.11093442693889499,0.13624894979572502,0.008444797399144317,0.58,0.49380547166252003,0.030606380225543017,0.584,0.4931401293620173,0.03056514188251542,0.659,0.4742825570732534,0.02939633744286956,0.578,0.49412565219806204,0.03062622522073642,0.482,0.49992592043814443,0.030985729570836913,0.11,0.3130463192532345,0.019402811886659863,1.318,0.9485651141465068,0.05879267488573912,0.33499999999999996,0.582,0.578,0.11,0.614045792540098,5.316284098032309
-4,lru,inf,,,inf,,,5.943807304095209,4.908814988276936,0.30425150511642607,6.0422315280131444,4.731805911278409,0.2932803688595725,7.38203572744205,9.366211203105916,0.5805237847808125,0.394,0.4888793337859589,0.03030105503668703,0.056,0.23003677296666486,0.01425782690412631,0.14775324805811924,0.18465109182850037,0.011444793243253346,0.08725596059057662,0.10974456303945579,0.006802038488482385,0.594,0.49133024067871645,0.030452963819723778,0.588,0.4924413655436538,0.03052183205234954,0.645,0.47875275895205466,0.029673403425809965,0.687,0.4639463829433809,0.02875569473303644,0.472,0.4994651794324259,0.030957172547442572,0.227,0.41910219117375974,0.025976222930937397,1.29,0.9575055179041093,0.05934680685161993,0.225,0.591,0.687,0.227,0.671834088631614,5.72250831584655
-2,lru,inf,,,inf,,,5.960550320349098,4.879274769780842,0.3024205834051029,6.044553524394191,4.661873700863481,0.2889459255518346,7.307149786323661,9.21758778380125,0.5713120098153708,0.326,0.46898181621886353,0.02906779412090045,0.032,0.17608806605504818,0.010914051407159403,0.13620478333636196,0.17301220321065577,0.010723407452931545,0.07288242799417549,0.09762561884090258,0.00605089854500571,0.593,0.4915206939617015,0.030464768236500732,0.581,0.4936422618482768,0.030596264376452787,0.655,0.475606140836303,0.029478374014428523,0.738,0.4399426662072565,0.02726792895600158,0.484,0.4999939939579214,0.03098994881130537,0.317,0.46554025360620294,0.02885448386020514,1.31,0.951212281672606,0.058956748028857045,0.179,0.587,0.738,0.317,0.680058602193792,5.577976936124932
0,lru,inf,,,inf,,,5.772291311526527,4.872329400016805,0.301990104927233,6.217321311265303,4.524042588125531,0.2804030646775622,7.108498596107607,8.951779277299986,0.5548370278963342,0.274,0.4462321403968154,0.027657754604988996,0.022,0.14675672910479282,0.00909607630817839,0.12689291126801033,0.15948163668893575,0.009884774251406821,0.04880169542918539,0.0745275851115867,0.0046192675823074954,0.57,0.4953234754636058,0.030700467075904212,0.588,0.49244136554365386,0.030521832052349544,0.675,0.4686092130918838,0.029044699939827136,0.796,0.40317061716666125,0.024988773743687645,0.508,0.5001861515337926,0.031001858861249804,0.381,0.4858755757136543,0.030114880182534484,1.35,0.9372184261837676,0.05808939987965427,0.14800000000000002,0.579,0.796,0.381,0.6877875026478255,5.265554515635265
2,lru,inf,,,inf,,,6.315089164735518,4.723099180093485,0.2927407200697967,6.459762040461465,4.352398951922871,0.2697644818865969,8.240837850482716,9.058193265292774,0.5614326352047309,0.195,0.39639895576569334,0.02456906182170574,0.019,0.13659303663678338,0.008466124122504796,0.09865002878361198,0.14253277154879562,0.008834272706488535,0.030493383881147723,0.06235994796803685,0.0038651096188322747,0.621,0.48538087580228645,0.030084218364361648,0.601,0.489937790988855,0.030366658893799494,0.628,0.48358024137659905,0.029972613886399414,0.879,0.32629046180583565,0.02022369234665451,0.478,0.4997657108743713,0.0309757996791974,0.385,0.48683879468671354,0.03017458111300545,1.256,0.9671604827531981,0.05994522777279883,0.107,0.611,0.879,0.385,0.733079998547291,6.561176632549933
4,lru,inf,,,inf,,,5.93216347686648,4.770013371013486,0.295648491748464,6.575844399397511,4.158432163713568,0.25774229579968666,7.958549291343297,8.67495387315629,0.5376792115870366,0.207,0.4053582555164201,0.025124364973374256,0.03,0.17067257872642908,0.010578396025034346,0.10214164112383853,0.14420919452980188,0.008938178479348384,0.0200977032931193,0.0661637077974464,0.004100869095602754,0.578,0.49412565219806204,0.03062622522073642,0.594,0.49133024067871645,0.030452963819723778,0.659,0.47428255707325345,0.029396337442869562,0.964,0.1863833113203506,0.011552157319684437,0.49,0.5001501276118503,0.030999626075435438,0.404,0.49094299569810046,0.03042896212715998,1.318,0.9485651141465069,0.058792674885739124,0.1185,0.586,0.964,0.404,0.7242003229312293,6.038353028333305
6,lru,inf,,,inf,,,6.174282700825874,4.657723575905587,0.288688698141986,6.815230366922054,3.946321441476357,0.24459553703079354,8.693812873355865,8.514628131963098,0.5277421191964233,0.125,0.33088439746304826,0.020508427428635175,0.02,0.1400700525437883,0.008681631801149524,0.0784864073459257,0.11981798812512469,0.007426395843834278,0.011903196919690683,0.05373899939728581,0.0033307776905672428,0.596,0.49094299569810046,0.03042896212715998,0.603,0.48952081736186726,0.030340814600643643,0.639,0.4805308625987616,0.029783611431623096,0.988,0.10893974420691409,0.006752155300435648,0.477,0.4997206426802086,0.03097300632358313,0.426,0.4947411128749751,0.030664371868702973,1.278,0.9610617251975232,0.05956722286324619,0.0725,0.5994999999999999,0.988,0.426,0.7587348159842486,6.802670479934167
8,lru,inf,,,inf,,,6.238849178634082,4.583044480081807,0.2840600398284458,7.009852363200891,3.7052608739540704,0.22965444826129808,8.85953844226554,8.142574493143169,0.5046819957521007,0.099,0.29881145943268017,0.01852052613421898,0.017,0.12933571713849087,0.008016310799790562,0.06845892392386091,0.11563454666313222,0.007167103455667813,0.007539376487563043,0.04657797666990117,0.0028869329035498196,0.596,0.49094299569810046,0.03042896212715998,0.602,0.4897303705467283,0.030353802841603668,0.653,0.4762539425745658,0.029518525182145008,0.994,0.07726558075864033,0.004788970310686489,0.504,0.5002341793942455,0.031004835658881246,0.46,0.49864681754589446,0.030906449952213023,1.306,0.9525078851491317,0.059037050364290015,0.058,0.599,0.994,0.46,0.7699694242045007,6.7837200936183315
10,lru,inf,,,inf,,,6.144968978138495,4.557037198886454,0.28244809183966046,7.145707478719648,3.5496321766488554,0.22000848166701806,9.311773137198365,7.893896114375758,0.4892687501499365,0.088,0.28343665312788385,0.01756758576668034,0.024,0.15312559370479986,0.009490822625785085,0.06213117560979074,0.1074886050491168,0.006662212763601888,0.008865435305340643,0.0510672587992761,0.0031651814926729627,0.581,0.4936422618482768,0.030596264376452787,0.601,0.489937790988855,0.030366658893799494,0.649,0.4775217555536365,0.02959710504470035,0.997,0.054717401199198,0.0033914196625200086,0.48,0.4998498272980094,0.030981013269148948,0.45,0.49774265212833413,0.030850409199032487,1.298,0.955043511107273,0.0591942100894007,0.055999999999999994,0.591,0.997,0.45,0.7797360638184847,7.173939242833871
12,lru,inf,,,inf,,,6.232834862141177,4.492890504749409,0.27847223854593317,7.577657828645198,3.2521769988903264,0.20157201874188474,10.117141884479537,7.645957842082909,0.4739013768223171,0.073,0.2602666685127751,0.01613149524187819,0.016,0.12553788177183717,0.007780918525026022,0.054189392349570466,0.10039855483002126,0.006222766898222461,0.0056484954605907165,0.039936257572790436,0.002475274889002043,0.585,0.4929685771101623,0.030554508963785004,0.636,0.4813893805805605,0.02983682292742313,0.628,0.48358024137659905,0.029972613886399414,0.999,0.0316227766016838,0.0019600000000000004,0.477,0.4997206426802086,0.03097300632358313,0.441,0.496755237280661,0.030789208592715826,1.256,0.9671604827531981,0.05994522777279883,0.0445,0.6105,0.999,0.441,0.7990493694521315,8.055049271082433
14,lru,inf,,,inf,,,6.230250665802094,4.428538173363854,0.2744836397234954,7.198570323858473,3.216443763771463,0.19935724988350298,9.712683168336843,7.065431029789136,0.437919952217268,0.051,0.22010780869257554,0.013642423322640082,0.019,0.1365930366367834,0.008466124122504798,0.04719390382972539,0.09317500592445574,0.005775046698530871,0.0062540277360863625,0.04140913655660435,0.0025665648742123097,0.577,0.4942826269608465,0.03063595461733346,0.557,0.49698893146427114,0.0308036931082802,0.683,0.46554025360620294,0.02885448386020514,0.998,0.04469897088298564,0.002770470918293334,0.5,0.5002501876563868,0.031005827861248298,0.482,0.49992592043814443,0.030985729570836913,1.366,0.9310805072124059,0.05770896772041028,0.034999999999999996,0.567,0.998,0.482,0.8020779007047599,7.11030978648378
